timestamp_min,service,latency_ms,request_volume,error_rate_pct
258,auth-service,664.2,381,18.18
261,auth-service,663.0,345,18.24
264,auth-service,618.8,422,18.22
267,auth-service,640.1,387,18.13
270,auth-service,674.4,384,18.19
273,auth-service,604.1,346,18.14
276,auth-service,646.4,381,18.22
279,auth-service,625.1,395,18.15
282,auth-service,641.3,370,18.3
285,auth-service,627.7,372,18.23
288,auth-service,618.1,390,18.21
291,auth-service,657.0,333,18.2
294,auth-service,614.2,393,18.15
297,auth-service,618.2,394,18.23
300,auth-service,614.1,405,18.21
303,auth-service,571.4,348,18.17
306,auth-service,636.5,368,18.14
309,auth-service,635.6,377,18.16
312,auth-service,652.7,373,18.23
315,auth-service,611.6,414,18.15
318,auth-service,627.5,348,18.25
321,auth-service,664.0,364,18.19
324,auth-service,605.3,365,18.24
327,auth-service,639.4,369,18.25
330,auth-service,672.3,379,18.29
333,auth-service,632.5,433,18.12
336,auth-service,638.3,362,18.31
339,auth-service,686.3,437,18.26
342,auth-service,699.8,377,18.23
345,auth-service,635.9,381,18.16
348,auth-service,619.4,351,18.13
351,auth-service,646.0,380,18.21
354,auth-service,663.3,363,18.24
357,auth-service,680.6,404,18.25
360,auth-service,624.7,393,18.25
0,session-store,34.4,461,0.41
3,session-store,36.5,442,0.31
6,session-store,32.0,445,0.34
9,session-store,34.9,412,0.33
12,session-store,35.5,403,0.36
15,session-store,35.5,423,0.32
18,session-store,36.7,464,0.32
21,session-store,37.6,443,0.22
24,session-store,33.4,411,0.39
27,session-store,35.4,435,0.38
30,session-store,33.1,409,0.29
33,session-store,34.6,422,0.36
36,session-store,33.5,444,0.4
39,session-store,38.2,440,0.36
42,session-store,36.4,437,0.32
45,session-store,37.7,461,0.45
48,session-store,35.1,431,0.37
51,session-store,35.0,438,0.35
54,session-store,62.9,428,0.36
57,session-store,41.1,430,0.37
60,session-store,36.6,399,0.43
63,session-store,55.4,438,0.5
66,session-store,53.5,379,0.52
69,session-store,56.6,418,0.63
72,session-store,49.1,396,0.83
75,session-store,79.9,431,0.99
78,session-store,53.5,396,1.04
81,session-store,60.7,409,1.28
84,session-store,67.9,372,1.44
87,session-store,78.9,396,1.67
90,session-store,81.3,428,1.91
93,session-store,75.9,421,2.15
96,session-store,109.5,401,2.44
99,session-store,131.1,423,2.73
102,session-store,97.2,386,2.98
105,session-store,111.2,424,3.3
108,session-store,120.2,341,3.58
111,session-store,128.7,387,3.93
114,session-store,170.3,418,4.24
117,session-store,132.0,372,4.73
120,session-store,167.9,361,5.02
123,session-store,198.5,368,5.42
126,session-store,177.3,365,5.82
129,session-store,202.9,360,6.21
132,session-store,195.1,374,6.67
135,session-store,191.6,384,7.05
138,session-store,220.7,345,7.58
141,session-store,236.4,394,8.02
144,session-store,221.8,346,8.48
147,session-store,243.1,354,8.97
150,session-store,244.3,340,9.51
153,session-store,243.4,376,10.08
156,session-store,273.0,367,10.57
159,session-store,309.0,355,11.14
162,session-store,286.8,326,11.72
165,session-store,325.8,366,12.26
168,session-store,338.7,324,12.77
171,session-store,315.2,320,13.44
174,session-store,318.1,373,13.97
177,session-store,344.6,331,14.68
180,session-store,333.9,319,15.26
183,session-store,355.8,346,15.97
186,session-store,389.7,343,16.63
189,session-store,378.6,284,17.28
192,session-store,399.8,331,17.88
195,session-store,393.5,307,18.36
198,session-store,399.5,282,18.24
201,session-store,381.8,306,18.28
204,session-store,391.8,310,18.4
207,session-store,398.0,334,18.41
210,session-store,395.6,340,18.44
213,session-store,431.0,338,18.4
216,session-store,381.0,317,18.27
219,session-store,413.9,304,18.38
222,session-store,390.4,340,18.36
225,session-store,429.2,346,18.31
228,session-store,394.1,318,18.35
231,session-store,385.3,328,18.38
234,session-store,399.5,340,18.32
237,session-store,409.3,288,18.37
240,session-store,395.9,303,18.34
243,session-store,425.3,294,18.32
246,session-store,413.0,334,18.43
249,session-store,383.8,336,18.39
252,session-store,380.2,345,18.38
255,session-store,410.8,288,18.33
258,session-store,388.6,301,18.32
261,session-store,407.5,332,18.41
264,session-store,401.7,330,18.44
267,session-store,425.3,340,18.41
270,session-store,411.6,323,18.36
273,session-store,393.3,327,18.39
276,session-store,401.6,306,18.31
279,session-store,396.8,304,18.31
282,session-store,401.6,295,18.31
285,session-store,407.3,296,18.38
288,session-store,443.3,298,18.31
291,session-store,387.1,336,18.44
294,session-store,403.2,307,18.35
297,session-store,418.6,299,18.43
300,session-store,411.5,304,18.36
303,session-store,407.0,312,18.24
306,session-store,406.2,341,18.35
309,session-store,419.5,326,18.37
312,session-store,405.2,322,18.44
315,session-store,382.8,288,18.38
318,session-store,414.4,289,18.4
321,session-store,402.2,319,18.39
324,session-store,412.3,295,18.34
327,session-store,408.8,330,18.35
330,session-store,376.9,336,18.33
333,session-store,419.4,302,18.41
336,session-store,401.9,330,18.29
339,session-store,403.4,340,18.34
342,session-store,406.4,317,18.29
345,session-store,421.1,316,18.31
348,session-store,373.0,273,18.35
351,session-store,405.1,299,18.35
354,session-store,401.8,284,18.35
357,session-store,373.6,307,18.39
360,session-store,380.3,325,18.29
0,inventory-service,64.3,1169,0.06
3,inventory-service,69.7,1175,0.12
6,inventory-service,71.2,1222,0.09
9,inventory-service,75.2,1154,0.11
12,inventory-service,77.0,1178,0.16
15,inventory-service,71.6,1045,0.1
18,inventory-service,71.9,1076,0.19
21,inventory-service,69.6,1036,0.01
24,inventory-service,77.4,1091,0.11
27,inventory-service,74.5,1126,0.14
30,inventory-service,63.6,1228,0.15
33,inventory-service,72.3,1093,0.1
36,inventory-service,71.5,1132,0.08
39,inventory-service,66.5,1122,0.1
42,inventory-service,66.4,1271,0.14
45,inventory-service,61.0,1323,0.09
48,inventory-service,81.6,1180,0.11
51,inventory-service,67.4,1117,0.14
54,inventory-service,64.0,1189,0.11
57,inventory-service,64.3,1095,0.13
60,inventory-service,74.8,1104,0.07
63,inventory-service,45.6,1103,0.18
66,inventory-service,79.0,1079,0.13
69,inventory-service,70.5,1117,0.31
72,inventory-service,67.8,1149,0.3
75,inventory-service,93.0,1208,0.49
78,inventory-service,129.7,1108,0.64
81,inventory-service,63.9,1175,0.7
84,inventory-service,99.6,1032,0.86
87,inventory-service,162.2,1158,1.13
90,inventory-service,118.7,996,1.2
93,inventory-service,128.8,1118,1.47
96,inventory-service,161.4,1102,1.65
99,inventory-service,177.6,1040,1.92
102,inventory-service,140.0,1318,2.18
105,inventory-service,190.4,992,2.59
108,inventory-service,188.1,1044,2.74
111,inventory-service,241.6,1018,3.04
114,inventory-service,249.4,1069,3.39
117,inventory-service,246.3,1099,3.73
120,inventory-service,245.8,1018,4.15
123,inventory-service,269.2,1027,4.37
126,inventory-service,285.7,1092,4.73
129,inventory-service,316.5,1171,5.22
132,inventory-service,299.0,966,5.62
135,inventory-service,312.3,1025,6.07
138,inventory-service,295.8,991,6.43
141,inventory-service,317.6,971,6.84
144,inventory-service,382.1,998,7.35
147,inventory-service,361.1,1031,7.84
150,inventory-service,368.8,1006,8.24
153,inventory-service,388.8,902,8.86
156,inventory-service,422.7,1028,9.24
159,inventory-service,407.9,989,9.8
162,inventory-service,440.2,1027,10.3
165,inventory-service,468.3,939,10.85
168,inventory-service,463.8,1047,11.38
171,inventory-service,469.4,949,12.13
174,inventory-service,441.2,935,12.6
177,inventory-service,556.7,954,13.24
180,inventory-service,504.4,938,13.83
183,inventory-service,584.3,853,14.42
186,inventory-service,542.0,952,15.07
189,inventory-service,623.0,930,15.7
192,inventory-service,643.2,885,16.45
195,inventory-service,595.7,946,16.96
198,inventory-service,650.7,835,17.64
201,inventory-service,665.4,878,18.09
204,inventory-service,621.9,890,18.07
207,inventory-service,639.9,846,18.2
210,inventory-service,644.5,919,18.14
213,inventory-service,641.9,821,18.13
216,inventory-service,614.8,725,18.04
219,inventory-service,642.2,781,18.17
222,inventory-service,697.5,848,18.12
225,inventory-service,640.5,793,18.15
228,inventory-service,620.7,793,18.16
231,inventory-service,719.4,897,18.12
234,inventory-service,646.8,899,18.09
237,inventory-service,657.2,740,18.17
240,inventory-service,660.3,881,18.13
243,inventory-service,639.0,808,18.1
246,inventory-service,674.8,841,18.06
249,inventory-service,651.0,787,18.09
252,inventory-service,653.6,910,18.08
255,inventory-service,672.6,860,18.1
258,inventory-service,648.5,820,18.05
261,inventory-service,665.9,824,18.17
264,inventory-service,603.3,980,18.17
267,inventory-service,649.9,824,18.09
270,inventory-service,642.5,920,18.11
273,inventory-service,666.5,938,18.18
276,inventory-service,672.9,930,18.08
279,inventory-service,635.0,806,18.1
282,inventory-service,615.6,916,18.18
285,inventory-service,689.3,871,18.16
288,inventory-service,699.4,822,18.08
291,inventory-service,674.9,857,18.05
294,inventory-service,673.6,909,18.04
297,inventory-service,703.8,819,18.16
300,inventory-service,686.2,985,18.16
303,inventory-service,590.8,873,18.22
306,inventory-service,652.4,863,18.09
309,inventory-service,672.5,864,18.18
312,inventory-service,590.2,874,18.15
315,inventory-service,652.8,895,18.14
318,inventory-service,655.3,906,18.11
321,inventory-service,604.7,828,18.16
324,inventory-service,698.5,803,18.09
327,inventory-service,643.8,836,18.14
330,inventory-service,655.2,914,18.12
333,inventory-service,680.3,855,18.11
336,inventory-service,628.7,796,18.14
339,inventory-service,643.6,924,18.01
342,inventory-service,645.5,821,18.2
345,inventory-service,648.3,946,18.12
348,inventory-service,679.0,948,18.07
351,inventory-service,621.4,849,18.04
354,inventory-service,654.5,912,18.12
357,inventory-service,668.3,900,18.11
360,inventory-service,641.9,861,18.06
0,search-service,88.1,698,0.24
3,search-service,87.3,678,0.22
6,search-service,96.9,715,0.23
9,search-service,92.1,646,0.14
12,search-service,89.5,716,0.22
15,search-service,93.0,629,0.13
18,search-service,96.0,679,0.13
21,search-service,94.8,689,0.35
24,search-service,96.8,692,0.19
27,search-service,91.3,677,0.13
30,search-service,95.0,690,0.06
33,search-service,86.6,652,0.25
36,search-service,89.8,731,0.12
39,search-service,84.2,717,0.17
42,search-service,84.3,663,0.16
45,search-service,92.9,719,0.12
48,search-service,88.4,681,0.2
51,search-service,94.5,685,0.17
54,search-service,84.0,618,0.18
57,search-service,90.1,712,0.18
60,search-service,102.1,664,0.23
63,search-service,103.3,609,0.28
66,search-service,117.7,683,0.24
69,search-service,180.4,692,0.36
72,search-service,149.3,740,0.55
75,search-service,124.8,732,0.61
78,search-service,98.1,640,0.73
81,search-service,211.9,706,0.91
84,search-service,284.4,695,1.16
87,search-service,158.9,636,1.13
90,search-service,274.6,641,1.48
93,search-service,205.7,666,1.64
96,search-service,172.9,664,1.91
99,search-service,306.8,579,2.07
102,search-service,257.6,640,2.46
105,search-service,248.5,582,2.75
108,search-service,316.0,618,3.03
111,search-service,280.8,595,3.38
114,search-service,361.9,590,3.58
117,search-service,330.9,704,4.14
120,search-service,425.8,622,4.43
123,search-service,427.9,668,4.78
126,search-service,388.6,599,5.08
129,search-service,452.6,635,5.47
132,search-service,589.3,666,5.84
135,search-service,551.9,590,6.31
138,search-service,545.9,621,6.79
141,search-service,535.2,581,7.28
144,search-service,530.7,638,7.64
147,search-service,596.8,566,8.25
150,search-service,590.7,555,8.73
153,search-service,701.0,629,9.07
156,search-service,626.7,564,9.71
159,search-service,769.7,505,10.19
162,search-service,658.4,602,10.78
165,search-service,821.6,566,11.28
168,search-service,764.9,518,11.84
171,search-service,870.6,556,12.53
174,search-service,825.2,642,13.16
177,search-service,835.8,490,13.69
180,search-service,916.5,551,14.31
183,search-service,945.5,510,14.88
186,search-service,911.4,555,15.59
189,search-service,948.9,465,16.15
192,search-service,1003.6,505,16.83
195,search-service,1050.4,517,17.58
198,search-service,1143.4,534,18.21
201,search-service,1172.9,508,18.27
204,search-service,1046.4,512,18.3
207,search-service,1117.6,484,18.31
210,search-service,1027.3,590,18.13
213,search-service,1053.0,477,18.23
216,search-service,1074.1,575,18.12
219,search-service,1039.9,560,18.29
222,search-service,1072.0,471,18.22
225,search-service,992.1,535,18.15
228,search-service,1116.7,501,18.2
231,search-service,1046.9,616,18.15
234,search-service,1110.4,497,18.17
237,search-service,1111.4,534,18.22
240,search-service,1081.1,520,18.18
243,search-service,1057.9,481,18.2
246,search-service,1053.6,540,18.2
249,search-service,1088.4,545,18.15
252,search-service,1105.2,515,18.26
255,search-service,1052.7,540,18.19
258,search-service,1152.1,547,18.31
261,search-service,1035.9,501,18.18
264,search-service,1054.0,548,18.25
267,search-service,1026.7,529,18.23
270,search-service,1070.9,558,18.17
273,search-service,1094.2,528,18.24
276,search-service,1010.0,468,18.18
279,search-service,1105.8,448,18.23
282,search-service,1022.7,585,18.21
285,search-service,1181.8,490,18.18
288,search-service,1019.9,513,18.2
291,search-service,1090.3,479,18.25
294,search-service,1027.4,487,18.17
297,search-service,1107.0,499,18.19
300,search-service,1045.3,561,18.24
303,search-service,1016.7,532,18.17
306,search-service,1028.0,465,18.2
309,search-service,1114.4,508,18.15
312,search-service,1129.0,485,18.11
315,search-service,1007.5,566,18.13
318,search-service,1128.9,540,18.17
321,search-service,1055.7,502,18.27
324,search-service,1009.2,544,18.25
327,search-service,1099.5,512,18.14
330,search-service,1018.4,489,18.15
333,search-service,1077.5,465,18.15
336,search-service,1087.5,513,18.09
339,search-service,1150.4,564,18.23
342,search-service,1043.4,517,18.14
345,search-service,1007.3,530,18.18
348,search-service,1079.7,495,18.24
351,search-service,1050.1,492,18.24
354,search-service,1078.8,528,18.08
357,search-service,1067.7,545,18.23
360,search-service,1065.3,514,18.17
0,media-upload,116.9,611,0.48
3,media-upload,123.3,702,0.43
6,media-upload,117.6,702,0.49
9,media-upload,122.5,676,0.39
12,media-upload,121.5,675,0.38
15,media-upload,113.8,616,0.37
18,media-upload,113.8,613,0.5
21,media-upload,110.2,609,0.41
24,media-upload,114.2,639,0.41
27,media-upload,122.4,662,0.41
30,media-upload,124.3,636,0.37
33,media-upload,116.6,658,0.4
36,media-upload,123.1,617,0.37
39,media-upload,101.1,539,0.37
42,media-upload,117.2,667,0.46
45,media-upload,117.7,653,0.42
48,media-upload,120.8,689,0.49
51,media-upload,128.3,641,0.35
54,media-upload,120.3,596,0.47
57,media-upload,117.0,650,0.51
60,media-upload,110.9,675,0.4
63,media-upload,35.4,663,0.46
66,media-upload,150.4,658,0.51
69,media-upload,65.8,691,0.65
72,media-upload,5,616,0.73
75,media-upload,189.2,615,0.82
78,media-upload,136.2,689,0.75
81,media-upload,231.1,614,1.07
84,media-upload,172.6,677,1.19
87,media-upload,276.9,650,1.39
90,media-upload,250.9,651,1.54
93,media-upload,282.9,602,1.79
96,media-upload,421.0,620,2.14
99,media-upload,383.1,551,2.37
102,media-upload,448.0,665,2.53
105,media-upload,450.4,567,2.78
108,media-upload,370.9,601,3.05
111,media-upload,369.8,560,3.45
114,media-upload,452.5,681,3.64
117,media-upload,509.9,605,4.07
120,media-upload,507.6,564,4.38
123,media-upload,614.9,611,4.78
126,media-upload,602.6,617,5.17
129,media-upload,542.6,569,5.49
132,media-upload,637.1,575,6.01
135,media-upload,653.3,585,6.39
138,media-upload,844.1,577,6.81
141,media-upload,803.9,608,7.29
144,media-upload,770.7,616,7.69
147,media-upload,837.0,554,8.12
150,media-upload,825.2,539,8.6
153,media-upload,924.0,557,9.16
156,media-upload,902.2,549,9.61
159,media-upload,983.4,546,10.18
162,media-upload,903.6,580,10.74
165,media-upload,1032.2,528,11.26
168,media-upload,1150.2,612,11.85
171,media-upload,1166.9,534,12.31
174,media-upload,1094.6,513,12.9
177,media-upload,1171.1,512,13.63
180,media-upload,1146.0,501,14.22
183,media-upload,1252.2,533,14.85
186,media-upload,1202.9,482,15.44
189,media-upload,1337.6,465,16.06
192,media-upload,1251.4,496,16.73
195,media-upload,1493.8,446,17.38
198,media-upload,1339.2,489,17.95
201,media-upload,1565.2,481,18.49
204,media-upload,1396.1,474,18.39
207,media-upload,1518.7,471,18.44
210,media-upload,1434.4,496,18.51
213,media-upload,1359.3,485,18.37
216,media-upload,1428.2,474,18.36
219,media-upload,1424.6,515,18.39
222,media-upload,1460.4,449,18.37
225,media-upload,1485.8,445,18.5
228,media-upload,1425.9,425,18.44
231,media-upload,1378.6,501,18.39
234,media-upload,1426.5,434,18.48
237,media-upload,1432.7,468,18.48
240,media-upload,1451.6,436,18.44
243,media-upload,1447.4,462,18.49
246,media-upload,1529.6,498,18.42
249,media-upload,1420.3,446,18.47
252,media-upload,1395.9,516,18.38
255,media-upload,1431.6,502,18.35
258,media-upload,1439.4,525,18.52
261,media-upload,1441.5,524,18.4
264,media-upload,1541.0,460,18.32
267,media-upload,1426.6,453,18.4
270,media-upload,1433.6,462,18.47
273,media-upload,1314.9,486,18.46
276,media-upload,1588.6,478,18.48
279,media-upload,1416.4,548,18.4
282,media-upload,1481.8,488,18.39
285,media-upload,1387.0,462,18.38
288,media-upload,1436.1,466,18.49
291,media-upload,1428.4,491,18.39
294,media-upload,1375.6,538,18.51
297,media-upload,1507.0,487,18.47
300,media-upload,1481.9,511,18.43
303,media-upload,1625.5,528,18.42
306,media-upload,1540.0,454,18.35
309,media-upload,1325.7,550,18.44
312,media-upload,1508.0,532,18.48
315,media-upload,1303.6,520,18.43
318,media-upload,1399.9,541,18.4
321,media-upload,1405.2,511,18.45
324,media-upload,1451.7,445,18.44
327,media-upload,1381.6,494,18.3
330,media-upload,1444.1,514,18.42
333,media-upload,1486.9,528,18.46
336,media-upload,1531.1,502,18.41
339,media-upload,1438.7,517,18.35
342,media-upload,1423.2,586,18.47
345,media-upload,1345.7,503,18.42
348,media-upload,1453.8,470,18.52
351,media-upload,1466.5,485,18.45
354,media-upload,1372.7,453,18.39
357,media-upload,1437.2,481,18.52
360,media-upload,1413.2,493,18.5
0,payments-service,103.0,661,0.39
3,payments-service,114.2,663,0.39
6,payments-service,104.0,674,0.39
9,payments-service,112.1,647,0.39
12,payments-service,114.9,634,0.36
15,payments-service,106.4,611,0.36
18,payments-service,116.5,617,0.37
21,payments-service,109.3,644,0.4
24,payments-service,123.0,584,0.36
27,payments-service,113.8,575,0.46
30,payments-service,109.2,603,0.42
33,payments-service,95.5,634,0.32
36,payments-service,109.9,639,0.41
39,payments-service,112.7,693,0.38
42,payments-service,107.7,666,0.37
45,payments-service,112.8,504,0.4
48,payments-service,109.5,614,0.34
51,payments-service,116.0,563,0.53
54,payments-service,117.6,639,0.47
57,payments-service,111.8,599,0.42
60,payments-service,99.2,646,0.43
63,payments-service,113.5,582,0.38
66,payments-service,109.2,604,0.26
69,payments-service,79.0,663,0.51
72,payments-service,84.5,613,0.45
75,payments-service,146.5,633,0.5
78,payments-service,149.4,629,0.54
81,payments-service,39.8,638,0.56
84,payments-service,175.5,667,0.67
87,payments-service,102.9,648,0.83
90,payments-service,175.9,638,1.01
93,payments-service,225.3,667,1.12
96,payments-service,210.9,649,1.44
99,payments-service,128.8,614,1.49
102,payments-service,233.9,590,1.81
105,payments-service,332.9,676,1.93
108,payments-service,368.4,609,2.21
111,payments-service,234.2,620,2.46
114,payments-service,271.2,628,2.81
117,payments-service,484.4,624,3.12
120,payments-service,418.9,547,3.26
123,payments-service,400.0,586,3.67
126,payments-service,437.1,613,3.99
129,payments-service,312.5,607,4.3
132,payments-service,495.0,605,4.73
135,payments-service,438.8,565,5.04
138,payments-service,559.6,561,5.5
141,payments-service,528.9,580,5.91
144,payments-service,497.0,573,6.27
147,payments-service,538.1,550,6.71
150,payments-service,600.9,568,7.13
153,payments-service,655.5,568,7.68
156,payments-service,582.6,544,8.12
159,payments-service,700.8,488,8.52
162,payments-service,752.7,515,9.08
165,payments-service,681.2,537,9.58
168,payments-service,804.4,583,10.13
171,payments-service,837.2,480,10.63
174,payments-service,862.6,548,11.26
177,payments-service,884.8,515,11.78
180,payments-service,918.8,562,12.33
183,payments-service,892.0,487,12.94
186,payments-service,937.4,448,13.45
189,payments-service,928.5,439,14.07
192,payments-service,1002.0,483,14.72
195,payments-service,996.6,424,15.34
198,payments-service,997.4,475,15.97
201,payments-service,1063.7,566,16.64
204,payments-service,1102.2,395,17.39
207,payments-service,1198.1,432,17.93
210,payments-service,1274.6,481,18.36
213,payments-service,1197.8,459,18.41
216,payments-service,1184.2,480,18.3
219,payments-service,1158.6,455,18.39
222,payments-service,1121.4,537,18.33
225,payments-service,1161.2,462,18.43
228,payments-service,1208.7,444,18.41
231,payments-service,1162.7,468,18.4
234,payments-service,1119.0,534,18.4
237,payments-service,1200.1,469,18.26
240,payments-service,1167.7,481,18.33
